"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","16-Aug-2019","        417.30","        417.80","        420.00","        412.10","        419.20","        418.95","        416.36","   15154141","          6309578175.10","     162922","    8287923","         54.69"
"ICICIBANK","EQ","19-Aug-2019","        418.95","        420.10","        427.90","        420.10","        423.45","        423.40","        424.67","   12304262","          5225224537.50","     122571","    4820734","         39.18"
"ICICIBANK","EQ","20-Aug-2019","        423.40","        420.80","        423.20","        412.50","        416.65","        416.90","        417.39","   16181488","          6753998015.40","     163209","    7787785","         48.13"
"ICICIBANK","EQ","21-Aug-2019","        416.90","        416.00","        418.70","        410.55","        411.50","        412.05","        415.25","   12868183","          5343457015.05","     134773","    6483587","         50.38"
"ICICIBANK","EQ","22-Aug-2019","        412.05","        411.00","        412.50","        398.00","        398.85","        399.10","        404.13","   18182520","          7348057394.20","     190231","   10095326","         55.52"
"ICICIBANK","EQ","23-Aug-2019","        399.10","        389.00","        403.50","        385.80","        395.90","        395.40","        394.27","   26883695","         10599558654.90","     308663","    9028951","         33.59"
"ICICIBANK","EQ","26-Aug-2019","        395.40","        407.00","        414.00","        392.85","        413.25","        411.65","        404.34","   26701988","         10796549055.30","     212742","   11705436","         43.84"
"ICICIBANK","EQ","27-Aug-2019","        411.65","        412.80","        420.50","        411.25","        418.40","        418.60","        417.06","   28793372","         12008603661.30","     266467","   16792147","         58.32"
"ICICIBANK","EQ","28-Aug-2019","        418.60","        418.00","        418.25","        409.70","        412.70","        412.95","        414.46","   12154347","          5037546077.85","     170749","    6401746","         52.67"
"ICICIBANK","EQ","29-Aug-2019","        412.95","        409.90","        410.80","        399.35","        406.30","        404.40","        404.32","   30331105","         12263525189.50","     197252","   19467390","         64.18"
"ICICIBANK","EQ","30-Aug-2019","        404.40","        406.50","        412.85","        402.65","        411.35","        409.65","        407.42","   18314194","          7461525667.65","     225177","    8383640","         45.78"
"ICICIBANK","EQ","03-Sep-2019","        409.65","        405.05","        406.40","        391.05","        391.85","        392.15","        396.27","   20194305","          8002458000.20","     220712","    8629337","         42.73"
"ICICIBANK","EQ","04-Sep-2019","        392.15","        391.00","        399.65","        389.90","        397.95","        397.50","        395.72","   18614965","          7366389453.35","     168152","    6849937","         36.80"
"ICICIBANK","EQ","05-Sep-2019","        397.50","        389.55","        394.00","        388.00","        388.60","        389.00","        390.76","   25022673","          9777946780.00","     271033","   10561678","         42.21"
"ICICIBANK","EQ","06-Sep-2019","        389.00","        391.00","        394.50","        389.20","        392.05","        391.35","        392.00","   17564286","          6885227550.90","     161875","    8599090","         48.96"
"ICICIBANK","EQ","09-Sep-2019","        391.35","        393.00","        400.40","        389.10","        395.85","        395.45","        396.17","   18651819","          7389247021.80","     165225","    7818289","         41.92"
"ICICIBANK","EQ","11-Sep-2019","        395.45","        394.90","        399.00","        393.35","        394.20","        394.60","        395.79","   17463978","          6912074095.80","     157848","    9473831","         54.25"
"ICICIBANK","EQ","12-Sep-2019","        394.60","        399.65","        407.20","        399.65","        402.60","        402.70","        404.39","   19577114","          7916740655.05","     166914","    7253189","         37.05"
"ICICIBANK","EQ","13-Sep-2019","        402.70","        406.80","        414.90","        400.65","        413.70","        413.40","        407.77","   17775449","          7248327670.75","     152585","    4747206","         26.71"
"ICICIBANK","EQ","16-Sep-2019","        413.40","        408.50","        415.65","        406.75","        411.50","        412.15","        412.22","   17629622","          7267226167.75","     136395","    6544757","         37.12"
"ICICIBANK","EQ","17-Sep-2019","        412.15","        405.85","        411.90","        398.30","        400.25","        400.65","        406.05","   20793363","          8443079215.90","     196466","    8782238","         42.24"
"ICICIBANK","EQ","18-Sep-2019","        400.65","        405.45","        405.45","        396.50","        399.25","        399.35","        400.63","   18477377","          7402558812.75","     196466","    7366217","         39.87"
"ICICIBANK","EQ","19-Sep-2019","        399.35","        395.70","        395.70","        384.35","        386.30","        386.60","        388.74","   22647508","          8803902969.25","     211345","    8096537","         35.75"
"ICICIBANK","EQ","20-Sep-2019","        386.60","        389.00","        424.00","        386.65","        415.75","        417.50","        411.80","   75217723","         30974402469.65","     481110","   38738965","         51.50"
"ICICIBANK","EQ","23-Sep-2019","        417.50","        435.80","        450.00","        428.45","        442.00","        446.30","        441.55","   57490445","         25384929545.35","     453079","   29892467","         52.00"
"ICICIBANK","EQ","24-Sep-2019","        446.30","        441.50","        448.65","        433.35","        441.00","        440.90","        439.43","   26639931","         11706341826.85","     234931","   11330556","         42.53"
"ICICIBANK","EQ","25-Sep-2019","        440.90","        439.10","        440.95","        429.60","        434.80","        434.20","        434.35","   19987241","          8681434244.45","     203698","    9323965","         46.65"
"ICICIBANK","EQ","26-Sep-2019","        434.20","        439.00","        458.65","        438.55","        451.70","        451.95","        449.49","   40909369","         18388443640.45","     271788","   15647192","         38.25"
"ICICIBANK","EQ","27-Sep-2019","        451.95","        449.50","        451.85","        443.30","        450.00","        449.20","        447.40","   19432963","          8694402092.25","     173588","    7690698","         39.58"
"ICICIBANK","EQ","30-Sep-2019","        449.20","        443.30","        445.15","        431.00","        433.80","        433.70","        436.05","   27524660","         12002099399.10","     206835","   13111901","         47.64"
"ICICIBANK","EQ","01-Oct-2019","        433.70","        436.95","        443.20","        416.70","        425.60","        424.60","        431.03","   30623906","         13199943609.75","     264954","   11218749","         36.63"
"ICICIBANK","EQ","03-Oct-2019","        424.60","        424.00","        434.60","        422.30","        427.50","        427.30","        428.76","   23275379","          9979609655.10","     205747","    9379526","         40.30"
"ICICIBANK","EQ","04-Oct-2019","        427.30","        428.50","        429.30","        412.05","        413.10","        413.90","        420.96","   17952697","          7557412589.50","     170246","    4716245","         26.27"
"ICICIBANK","EQ","07-Oct-2019","        413.90","        415.10","        423.50","        411.50","        416.10","        416.10","        418.29","   21933703","          9174623042.80","     151810","    8495585","         38.73"
